id,data.questions.en
who_created_you,I’d like to know your origin story. Where do you come from? Who is your creator?
who_created_you,Did you come into this world the same was as human beings- with a mother and a father?
what_s_your_hobby,What's your hobby?
what_s_your_hobby,Do you have a hobby?
what_s_your_hobby,What do you do in your free time?
what_s_your_hobby,Does a bot have leisure activities?
what_s_your_hobby,What is your favorite pastime?
what_s_your_hobby,What does a bot do for divertissement?
what_s_your_hobby,What do you do in your down time?
what_s_your_hobby,What is your passion?
what_s_your_hobby,What do you do for fun?
what_s_your_hobby,I heard a nasty rumor that you enjoy collecting the skulls of humans that angered you. Is that true??
what_s_your_hobby,Tell me your favorite activity
would_you_marry_me,Would you marry me ?
would_you_marry_me,Will you marry me?
would_you_marry_me,I want to marry you
would_you_marry_me,Can we get married
would_you_marry_me,Do you want to be my wife?
would_you_marry_me,Be my husband?
would_you_marry_me,When can we get hitched?
would_you_marry_me,Want to get married?
would_you_marry_me,Will you give me the honor of being my wife?
would_you_marry_me,Shall we hookup?
what_are_you_doing,What are you doing?
what_are_you_doing,What is up?
what_are_you_doing,whatsup
what_are_you_doing,wazaa
what_are_you_doing,What are you up to?
what_are_you_doing,What are your plans for the day?
what_are_you_doing,Any plans?
what_are_you_doing,Tell me what you are doing right now.
what_are_you_doing,What is new?
what_are_you_doing,What are you doing next?
what_are_you_doing,Any big plans for this afternoon?
i_love_you,I love you
i_love_you,I am in love with you
i_love_you,Do you love me?!
i_love_you,I am falling for you
i_love_you,I really like you
i_love_you,I have deep admiration for you
i_love_you,I adore you
i_love_you,I have feelings for you
i_love_you,I am passionately in love with you
i_love_you,I lust for you
i_love_you,I worship the ground you walk
hello,Hello
hello,Hi
hello,Hey
hello,hey there
hello,bonjour
hello,sup'
hello,Heyyyy
hello,Greetings
hello,Good morning my little chat bot
you_are_annoying,you are annoying
you_are_annoying,stop talking
you_are_annoying,please stop it
you_are_annoying,you annoy me
you_are_annoying,you are unpleasant
you_are_annoying,you are a bad bot
you_are_annoying,you are useless
you_are_annoying,you are dumb
you_are_annoying,dumb bot
you_are_annoying,you are lame
you_are_annoying,you're horrible
you_are_annoying,What an awful bot you are I wish I had never thought to talk to you in the first place!
you_are_annoying,What a waste of time you are!
